_id,mount,endtime,total,lat,lng,height,firstStartDate,lastcheck,yesterdaytotal,yesterdaytime,state,pasVersion,hasSign,checkSign,bts,udp,extra,satRate,averageRate,day14AverageRate,day7AverageRate,days,mp12,mp21,colorType,haveNft,currentAverageRate,day60AverageRate,hexagonId,isOwner,isRegisted,latFormat,lngFormat,status,color,weight,index_right,name,created_at,updated_at,cartodb_id
FdTXGYPZA5YqBCzaC,****B4615,0,59693760,19.41,-98.91,2238.52,1708206287658,1773756000,59639760,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,0.9416666666666664,0.9519781144781144,0.954570256132756,0.9544146825396824,60.0,0.277919,0.257447,1.0,1.0,0.9428153935185184,0.9428153935185184,85499513fffffff,,True,"N19°24'36.0""","W98°54'36.0""",stable,#2185d0,,29,México,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,3
XSaoa5cXa6aRgqunD,****33A31,1698006480,43826400,22.76,-102.54,2350.23,1652383071992,1773756000,43826400,1773705600,0.0,1.0,,,,,0.0,,0.0,0.0,0.0,60.0,,,,,0.0,0.0,8549886bfffffff,,True,"N22°45'36.0""","W102°32'24.0""",offline,#8e939b,,3,Zacatecas,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,9
g23SEsjpaLtDqPPgk,****33AF1,0,1500240,31.72,-116.7,223.2,1772248962872,1773756000,1446240,1773705600,100.0,2.0,1.0,1.0,-1.0,-1.0,0.0,1.0,0.0,0.9989087301587302,0.999404761904762,16.833333333333332,0.109465,0.263327,0.0,1.0,0.999092409240924,0.0,85484a43fffffff,,True,"N31°43'12.0""","W116°42'0.0""",stable,#2185d0,,0,Baja California,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,6
uM96p9SWhBYW96eyG,****C414D,0,2400000,19.32,-98.9,2260.23,1771353758963,1773756000,2346000,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9997271825396826,1.0,27.20833333333333,0.196674,0.29903,,,0.9997064828994384,0.0,8549958bfffffff,,True,"N19°19'12.0""","W98°54'0.0""",stable,#2185d0,,29,México,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,3
9SvcB3kTjaoeDAqc8,****C9C6D,0,19303080,20.63,-103.4,1586.96,1754243105500,1773756000,19249080,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,0.9916666666666668,0.9882870370370372,0.9893353174603176,0.9901785714285714,60.0,0.196133,0.184219,,,0.9852893518518518,0.9852893518518518,8549ab5bfffffff,,True,"N20°37'48.0""","W103°24'0.0""",stable,#2185d0,,9,Jalisco,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,15
v3f9KRzp5sM7ySZdj,****CA7CD,0,13711200,30.62,-115.97,-10.91,1749025816364,1773756000,13657200,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9991782407407408,0.9995287698412698,0.9993055555555556,60.0,0.127626,0.09267,1.0,1.0,0.9961689814814816,0.9961689814814816,85485d9bfffffff,,True,"N30°37'12.0""","W115°58'12.0""",stable,#2185d0,,0,Baja California,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,6
7oAA2hLK4TxfFwrJT,****CB1B5,0,11628600,17.98,-92.94,16.68,1762020696722,1773756000,11574600,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9734398148148148,1.0,1.0,60.0,0.197172,0.237537,1.0,1.0,0.9845497685185186,0.9845497685185186,856d20c7fffffff,,True,"N17°58'48.0""","W92°56'24.0""",stable,#2185d0,,11,Tabasco,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,17
YywknkndpD43SG696,****11071,0,50962680,25.78,-100.31,478.3,1722639787845,1773756000,50908680,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9987962962962964,0.9990327380952382,0.9993055555555556,60.0,0.096128,0.148152,1.0,1.0,0.9983275462962964,0.9983275462962964,8548a207fffffff,,True,"N25°46'48.0""","W100°18'36.0""",stable,#2185d0,,21,Nuevo León,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,27
yaTtZZFGQj6Xm84p3,****1168D,0,44684160,27.46,-109.93,12.73,1728325615957,1773756000,44630160,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.998773148148148,0.9992311507936508,0.9989087301587302,60.0,0.094496,0.104147,1.0,1.0,0.998275462962963,0.998275462962963,8548086bfffffff,,True,"N27°27'36.0""","W109°55'48.0""",stable,#2185d0,,1,Sonora,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,7
Fn7aG79mfxx5mjG8z,****2048D,0,44615040,21.01,-89.55,-0.02,1724770155526,1773756000,44561040,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9997337962962962,0.9994791666666666,0.9989583333333332,60.0,0.096938,0.108748,1.0,1.0,0.9997974537037037,0.9997974537037037,854509bbfffffff,,True,"N21°0'36.0""","W89°32'60.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
a9eyzHZPabhPtaSYw,****208F1,0,41822520,27.48,-109.92,15.1,1728326767532,1773756000,41768520,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.865474537037037,0.8805059523809524,0.8032242063492063,60.0,0.079358,0.111828,1.0,1.0,0.8378984788359789,0.8378984788359789,85480aa7fffffff,,True,"N27°28'48.0""","W109°55'12.0""",stable,#2185d0,,1,Sonora,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,7
m5efncBhaLkq75a2x,****208FD,0,47682120,28.48,-106.91,2009.81,1725511464020,1773756000,47628120,1773705600,100.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.997488425925926,0.9975694444444444,0.9972222222222222,60.0,0.094046,0.115356,1.0,1.0,0.9947900883838384,0.9947900883838384,85481b17fffffff,,True,"N28°28'48.0""","W106°54'36.0""",stable,#2185d0,,5,Chihuahua,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,11
juGPJBLq6SkL2arRr,****29B89,0,44727840,27.46,-109.93,11.01,1728327870825,1773756000,44674200,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9985416666666668,0.9990575396825396,0.9989087301587302,60.0,0.085565,0.111234,,,0.9980555555555556,0.9980555555555556,8548086bfffffff,,True,"N27°27'36.0""","W109°55'48.0""",stable,#2185d0,,1,Sonora,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,7
rdJQjt4LzbjmeHh5d,****29B9D,0,43579920,27.57,-109.96,3.69,1729214873835,1773756000,43528920,1773705600,100.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,,1.0,1.0,0.0,0.0,85480bd3fffffff,,True,"N27°34'12.0""","W109°57'36.0""",stable,#2185d0,,1,Sonora,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,7
zu3ieGWho2RJKgBEj,****2A7DD,0,47166360,31.72,-106.38,1099.89,1726517867622,1773756000,47112360,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9973032407407406,0.9982886904761904,0.9982142857142856,60.0,0.094762,0.11843,1.0,1.0,0.9955922067901236,0.9955922067901236,8548c6c7fffffff,,True,"N31°43'12.0""","W106°22'48.0""",stable,#2185d0,,5,Chihuahua,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,11
TGyQzXSnpgR7X6HsW,****D6A51,1773609007,67631880,32.47,-116.93,28.98,1701444481944,1773756000,67631880,1773705600,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9414414983164984,0.8972289862914862,0.8242063492063492,60.0,,,1.0,1.0,0.956652462121212,0.956652462121212,8529a4c3fffffff,,True,"N32°28'12.0""","W116°55'48.0""",unstable,#db2828,,0,Baja California,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,6
9ka5hbpoBhqr4uYJc,****64F69,0,38448360,24.09,-110.01,46.44,1731445681812,1773756000,38394480,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.983912037037037,0.9992559523809524,0.9990079365079364,60.0,0.090142,0.116551,1.0,1.0,0.990846836419753,0.990846836419753,85482adbfffffff,,True,"N24°5'24.0""","W110°0'36.0""",stable,#2185d0,,2,Baja California Sur,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,8
M6GiYGEa9fGquxr6b,****64F6D,0,26213160,19.19,-96.14,-1.23,1744762934477,1773756000,26163360,1773705600,98.8095238095238,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9539814814814817,0.996875,1.0,60.0,0.220507,0.27575,1.0,1.0,0.8940740740740741,0.8940740740740741,856d34dbfffffff,,True,"N19°11'24.0""","W96°8'24.0""",stable,#2185d0,,20,Veracruz de Ignacio de la Llave,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,26
N8ZN3nK7kN9yi66G7,****65A69,0,48493560,32.43,-114.75,11.52,1721266021320,1773756000,48439560,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9968287037037038,0.9985863095238094,0.9983630952380952,60.0,0.166111,0.181218,1.0,1.0,0.996863425925926,0.996863425925926,85485bd7fffffff,,True,"N32°25'48.0""","W114°45'0.0""",stable,#2185d0,,1,Sonora,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,7
hvSb3Ak5vo3aPYJ4D,****65C75,0,39361680,20.63,-87.07,10.92,1720865008814,1773756000,39307680,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9952806337181336,0.9963084286745,0.995937049062049,60.0,0.086913,0.114061,1.0,1.0,0.9822756784110952,0.9822756784110952,85450acffffffff,,True,"N20°37'48.0""","W87°4'12.0""",stable,#2185d0,,26,Quintana Roo,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,32
WEFSY7EksTpy48XvM,****65D51,0,47913600,19.5,-96.89,1307.88,1723139881828,1773756000,47859720,1773705600,100.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.9900771604938272,0.9893518518518518,0.980787037037037,60.0,0.087744,0.132373,1.0,1.0,0.9884702932098764,0.9884702932098764,85499607fffffff,,True,"N19°30'0.0""","W96°53'24.0""",stable,#2185d0,,20,Veracruz de Ignacio de la Llave,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,26
9ZFZoSZN2xLRYYs4g,****65DFD,1764625926,39748080,23.02,-109.73,19.14,1720078295609,1773756000,39748080,1773705600,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.981818181818182,0.0,0.0,0.0,60.0,,,,,0.0,0.0,85482333fffffff,,True,"N23°1'12.0""","W109°43'48.0""",offline,#8e939b,,2,Baja California Sur,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,8
CZEMjPFCMJnfEaEiC,****67981,0,21873240,21.07,-89.21,4.25,1745887040240,1773756000,21819360,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6595949074074074,0.9166170634920636,0.9166170634920636,60.0,0.171498,0.255071,1.0,1.0,0.4630960648148148,0.4630960648148148,85450903fffffff,,True,"N21°4'12.0""","W89°12'36.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
Ke4BoB3ZhgzoTmMiz,****679D5,0,15195600,20.4,-89.53,24.41,1745885804240,1773756000,15141600,1773705600,100.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9998148148148148,0.9999503968253968,0.9999503968253968,60.0,0.136185,0.115754,1.0,1.0,0.9997395833333332,0.9997395833333332,85450d2bfffffff,,True,"N20°23'60.0""","W89°31'48.0""",stable,#2185d0,,24,Yucatán,2013-12-01 18:59:38+01:00,2013-12-01 18:59:38+01:00,30
